Player,Team,GP,GS,MINS,oPOSS,PTS,ORB,DRB,AST,STL,BLK,TOV,PF,PCT_FGA_trans,PCT_FGM_ast,TS.,eFG.,FGM,FGA,FG.,TPM,TPA,TP.,FTM,FTA,FT.,RIMM,RIMA,RIM.,MIDM,MIDA,MID.
DARION.SPOTTSVILLE_Eastern Mich.,Eastern Mich.,5,5,164.082,296,25,3,10,13,8,0,12,6,0.125,0.222,0.435,0.375,9,24,0.375,0,0,0,7,10,0.7,8,19,0.421,1,5,0.2
DARIOUS.HALL_DePaul,DePaul,5,3,121.316,230,22,8,18,3,0,1,7,13,0.469,0.2,0.316,0.312,10,32,0.312,0,5,0,2,6,0.333,7,18,0.389,3,9,0.333
DARIUS.BANKS_Chattanooga,Chattanooga,1,1,42.95,70,12,2,2,0,2,0,5,0,0.111,1,0.506,0.389,3,9,0.333,1,3,0.333,5,6,0.833,1,2,0.5,1,4,0.25
DARIUS.BEANE_Northern Ill.,Northern Ill.,4,1,91.534,173,38,4,7,4,5,2,5,4,0.35,0.286,0.416,0.35,14,40,0.35,0,1,0,10,12,0.833,10,16,0.625,4,23,0.174
DARIUS.BROWN_CSUN,CSUN,5,5,171.701,314,43,5,9,25,8,0,12,13,0.243,0.571,0.472,0.419,14,37,0.378,3,11,0.273,12,18,0.667,5,10,0.5,6,16,0.375
DARIUS.BURFORD_Elon,Elon,6,6,190.365,335,76,6,20,15,12,0,6,12,0.227,0.226,0.541,0.515,31,66,0.47,6,17,0.353,8,9,0.889,16,29,0.552,9,20,0.45
DARIUS.DAYS_LSU,LSU,7,7,193.235,382,64,17,42,8,4,1,7,26,0.306,0.731,0.505,0.5,26,62,0.419,10,34,0.294,2,3,0.667,13,22,0.591,3,6,0.5
DARIUS.GEORGE_Marshall,Marshall,4,0,47.599,92,19,3,5,2,2,1,2,3,0.222,1,0.911,0.889,8,9,0.889,0,0,0,3,3,1,8,9,0.889,0,0,0
DARIUS.HANNAH_Bradley,Bradley,3,3,55.684,100,17,5,9,0,2,3,3,6,0,0.25,0.535,0.571,8,14,0.571,0,1,0,1,4,0.25,3,5,0.6,5,8,0.625
DARIUS.HENDERSON_Montana,Montana,2,0,3.75,10,0,1,1,0,1,0,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DARIUS.HICKS_Jackson St.,Jackson St.,7,2,130.417,248,9,4,14,3,5,1,7,16,0.333,0,0.288,0.111,1,9,0.111,0,3,0,7,14,0.5,1,1,1,0,5,0
DARIUS.LEE_Houston Baptist,Houston Baptist,4,0,34.65,69,4,2,1,1,1,1,2,2,0.222,0,0.222,0.222,2,9,0.222,0,3,0,0,0,0,2,5,0.4,0,1,0
DARIUS.MCGHEE_Liberty,Liberty,6,6,204.532,340,137,2,22,17,2,3,10,6,0.09,0.652,0.706,0.685,46,89,0.517,30,56,0.536,15,17,0.882,10,21,0.476,6,12,0.5
DARIUS.MCNEILL_SMU,SMU,1,1,26.933,56,2,0,1,2,1,0,2,1,0.167,1,0.167,0.167,1,6,0.167,0,2,0,0,0,0,0,1,0,1,3,0.333
DARIUS.MILES_Alabama,Alabama,3,0,16.583,32,0,1,2,1,2,2,2,1,0.5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
DARIUS.PERRY_UCF,UCF,4,4,136.949,246,58,2,20,15,9,1,14,9,0.289,0.211,0.551,0.478,19,45,0.422,5,21,0.238,15,16,0.938,9,10,0.9,5,14,0.357
DARIUS.QUISENBERRY_Youngstown St.,Youngstown St.,2,2,73.25,136,30,0,5,7,3,0,7,5,0.32,0.636,0.548,0.5,11,25,0.44,3,9,0.333,5,5,1,6,9,0.667,2,7,0.286
DARLINSTONE.DUBAR_Iowa St.,Iowa St.,2,0,23.933,42,0,0,6,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0
DARNELL.BRODIE_Drake,Drake,6,6,150.885,240,55,9,32,4,4,4,5,16,0.087,0.56,0.542,0.543,25,46,0.543,0,0,0,5,10,0.5,13,18,0.722,12,28,0.429
DARNELL.ROGERS_UMBC,UMBC,2,2,56.383,114,26,0,1,2,2,0,4,5,0.294,0.429,0.625,0.559,7,17,0.412,5,9,0.556,7,8,0.875,1,7,0.143,1,1,1
DARON.HENSON_Seattle U,Seattle U,4,0,19.05,41,0,3,1,1,1,0,1,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
DARRIAN.WILSON_Jackson St.,Jackson St.,7,7,274.168,498,63,14,35,9,9,4,15,36,0.214,0.579,0.448,0.411,19,56,0.339,8,14,0.571,17,30,0.567,6,16,0.375,5,26,0.192
DARRION.TRAMMELL_Seattle U,Seattle U,6,6,226.083,412,137,2,19,29,11,1,23,16,0.248,0.083,0.537,0.426,36,101,0.356,14,46,0.304,51,56,0.911,11,22,0.5,11,33,0.333
DARRIOUS.AGNEW_Southeast Mo. St.,Southeast Mo. St.,4,0,57.018,105,37,5,13,2,2,2,4,7,0.276,0.471,0.572,0.586,17,29,0.586,0,1,0,3,7,0.429,13,21,0.619,4,7,0.571
DARRIUS.HUGHES_Omaha,Omaha,3,3,49.182,101,5,2,15,1,1,1,2,6,0.2,1,0.318,0.2,1,5,0.2,0,0,0,3,6,0.5,1,2,0.5,0,3,0
DARRYL.JORDAN_Jackson St.,Jackson St.,1,0,1.05,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DARRYL.MORSELL_Maryland,Maryland,7,7,215.415,369,82,7,30,22,9,4,17,14,0.345,0.5,0.655,0.655,34,55,0.618,4,10,0.4,10,16,0.625,19,23,0.826,11,22,0.5
DARRYL.POLK_Pepperdine,Pepperdine,5,0,79.516,156,5,3,8,9,3,0,4,6,0.357,0.5,0.179,0.179,2,14,0.143,1,8,0.125,0,0,0,0,2,0,1,4,0.25
DARYL.ANDERSON_Norfolk St.,Norfolk St.,2,0,5.167,10,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DARYL.BANKS_Saint Peter's,Saint Peter's,6,6,179.202,317,60,5,10,14,6,2,9,11,0.258,0.571,0.456,0.419,21,62,0.339,10,31,0.323,8,8,1,5,12,0.417,6,19,0.316
DAVIAN.HOUSTON_Col. of Charleston,Col. of Charleston,1,0,2.533,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVID.AZORE_UT Arlington,UT Arlington,5,5,137.534,260,77,1,20,8,10,0,4,15,0.193,0.5,0.548,0.465,24,57,0.421,5,14,0.357,24,28,0.857,4,10,0.4,15,33,0.455
DAVID.BÃHM_Northern Ky.,Northern Ky.,2,0,37.516,64,15,8,6,4,0,0,2,3,0.118,0.571,0.441,0.441,7,17,0.412,1,5,0.2,0,0,0,5,11,0.455,1,1,1
DAVID.BEATTY_La Salle,La Salle,3,3,72.801,140,41,1,7,6,3,0,3,7,0.192,0.615,0.688,0.635,13,26,0.5,7,11,0.636,8,8,1,0,4,0,6,11,0.545
DAVID.COLLINS_South Fla.,South Fla.,7,7,212.801,375,85,2,16,21,7,1,21,21,0.253,0.29,0.417,0.404,31,83,0.373,5,20,0.25,18,40,0.45,16,35,0.457,10,28,0.357
DAVID.DEJULIUS_Cincinnati,Cincinnati,5,2,107.515,204,24,1,14,13,1,0,2,5,0.2,0.25,0.35,0.3,8,30,0.267,2,11,0.182,6,9,0.667,1,9,0.111,5,10,0.5
DAVID.DIDENKO_Georgia Tech,Georgia Tech,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVID.DUKE_Providence,Providence,5,5,195.716,364,85,4,30,25,7,2,14,18,0.319,0.276,0.51,0.465,29,72,0.403,9,27,0.333,18,24,0.75,10,23,0.435,10,22,0.455
DAVID.EARLY_Marshall,Marshall,6,1,93.368,171,32,1,8,3,5,1,9,8,0.185,0.7,0.545,0.537,10,27,0.37,9,20,0.45,3,5,0.6,1,4,0.25,0,3,0
DAVID.GREEN_Hofstra,Hofstra,2,0,10.516,20,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DAVID.JEANBAPTISTE_Chattanooga,Chattanooga,2,2,79.017,136,32,3,3,9,4,1,6,3,0.281,0.231,0.486,0.484,13,32,0.406,5,15,0.333,1,2,0.5,7,13,0.538,1,4,0.25
DAVID.JENKINS_UNLV,UNLV,7,5,218.332,377,98,4,13,11,2,0,9,14,0.223,0.581,0.469,0.42,31,94,0.33,17,51,0.333,19,22,0.864,1,7,0.143,13,36,0.361
DAVID.JOHNSON_Louisville,Louisville,4,4,148.784,249,46,4,15,6,2,0,10,11,0.18,0.263,0.431,0.42,19,50,0.38,4,16,0.25,4,7,0.571,9,18,0.5,6,16,0.375
DAVID.JONES_Sacramento St.,Sacramento St.,5,0,69.315,128,11,2,12,3,3,8,2,10,0.111,0.75,0.464,0.444,4,9,0.444,0,0,0,3,6,0.5,4,5,0.8,0,4,0
DAVID.KACHELRIES_SFA,SFA,5,5,152.033,293,66,4,12,16,10,0,10,11,0.442,0.4,0.658,0.64,25,43,0.581,5,17,0.294,11,15,0.733,19,22,0.864,1,4,0.25
DAVID.KRISTENSEN_Davidson,Davidson,1,0,12.199,22,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DAVID.MAYNARD_Colgate,Colgate,4,0,18.067,39,6,1,1,0,0,0,1,1,0.333,0.333,0.432,0.5,3,6,0.5,0,2,0,0,2,0,2,2,1,1,2,0.5
DAVID.MCCORMACK_Kansas,Kansas,3,3,78.867,135,50,10,7,5,2,5,8,13,0.188,0.526,0.631,0.594,19,32,0.594,0,0,0,12,16,0.75,14,23,0.609,5,9,0.556
DAVID.MUENKAT_St. Francis Brooklyn,St. Francis Brooklyn,3,0,38,78,11,3,7,3,3,0,0,10,0.3,0.25,0.481,0.45,4,10,0.4,1,1,1,2,3,0.667,3,9,0.333,0,0,0
DAVID.MUOKA_Lamar University,Lamar University,5,5,169.852,307,42,10,30,3,7,22,14,15,0.171,0.684,0.548,0.543,19,35,0.543,0,0,0,4,7,0.571,12,23,0.522,7,12,0.583
DAVID.NGUESSAN_Virginia Tech,Virginia Tech,3,0,22.318,46,8,1,4,0,2,0,1,4,0.2,0.667,0.542,0.6,3,5,0.6,0,0,0,2,5,0.4,2,4,0.5,1,1,1
DAVID.NICKELBERRY_Buffalo,Buffalo,8,1,96.333,195,36,4,15,7,1,4,10,14,0.4,0.4,0.573,0.583,15,30,0.5,5,8,0.625,1,3,0.333,9,18,0.5,1,4,0.25
DAVID.PIERCE_Alcorn,Alcorn,6,0,146.65,287,54,1,8,8,4,0,8,14,0.259,0.368,0.475,0.454,19,54,0.352,11,32,0.344,5,6,0.833,0,6,0,8,16,0.5
DAVID.RODDY_Colorado St.,Colorado St.,6,6,195.7,349,98,17,44,16,5,3,12,8,0.209,0.469,0.57,0.485,32,67,0.478,1,11,0.091,33,40,0.825,26,40,0.65,5,16,0.312
DAVID.SINGLETON_UCLA,UCLA,6,0,108.217,180,32,0,8,3,3,0,2,7,0.04,0.636,0.575,0.58,11,25,0.44,7,15,0.467,3,6,0.5,0,1,0,4,9,0.444
DAVID.SKOGMAN_Buffalo,Buffalo,5,0,33.4,71,10,1,4,2,0,0,1,3,0,1,0.559,0.5,3,8,0.375,2,5,0.4,2,2,1,1,3,0.333,0,0,0
DAVID.SLOAN_ETSU,ETSU,3,3,109.033,184,42,0,7,11,2,0,6,11,0.226,0.067,0.572,0.532,15,31,0.484,3,10,0.3,9,12,0.75,9,16,0.562,3,5,0.6
DAVID.STROTHER_Old Dominion,Old Dominion,4,0,22.45,45,2,1,2,3,0,0,1,3,0,0,0.143,0.143,1,7,0.143,0,4,0,0,0,0,0,1,0,1,2,0.5
DAVID.WINGETT_South Dakota St.,South Dakota St.,2,0,7.933,18,4,0,2,0,1,0,0,2,0.25,1,0.404,0.25,1,4,0.25,0,2,0,2,2,1,1,2,0.5,0,0,0
DAVION.BRADFORD_Kansas St.,Kansas St.,5,5,129.217,233,54,14,12,2,2,1,7,11,0.094,0.727,0.674,0.688,22,32,0.688,0,0,0,10,17,0.588,21,28,0.75,1,4,0.25
DAVION.BUSTER_Lamar University,Lamar University,5,5,181.149,321,71,1,9,11,8,0,12,4,0.328,0.44,0.579,0.552,25,58,0.431,14,35,0.4,7,7,1,2,5,0.4,9,18,0.5
DAVION.MINTZ_Kentucky,Kentucky,4,4,136.831,252,67,2,10,24,4,2,5,3,0.5,0.478,0.66,0.663,23,46,0.5,15,35,0.429,6,10,0.6,6,8,0.75,2,3,0.667
DAVION.MITCHELL_Baylor,Baylor,7,7,263.251,481,107,3,14,31,12,2,17,15,0.179,0.308,0.569,0.56,39,84,0.464,16,40,0.4,13,21,0.619,17,28,0.607,6,16,0.375
DAVION.WARREN_Hampton,Hampton,3,6,182.184,303,82,5,31,12,11,10,23,23,0.161,0.259,0.592,0.536,27,56,0.482,6,21,0.286,22,28,0.786,15,18,0.833,6,17,0.353
DAVIS.STEELMAN_UT Arlington,UT Arlington,5,1,43.55,75,11,3,7,2,0,0,1,9,0.1,1,0.481,0.45,4,10,0.4,1,5,0.2,2,3,0.667,2,2,1,1,3,0.333
DAVONTE.DAVIS_Arkansas,Arkansas,7,6,161.651,321,53,6,30,25,9,0,12,19,0.277,0.333,0.49,0.447,21,47,0.447,0,5,0,11,15,0.733,8,12,0.667,13,30,0.433
DAVONTE.GAINES_Tennessee,Tennessee,4,0,6.699,18,0,0,3,0,0,2,1,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
DAVY.CUMMARD_Northern Ariz.,Northern Ariz.,2,0,0.167,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DAWSON.BAKER_UC Irvine,UC Irvine,8,7,199.936,370,88,2,15,16,12,0,13,6,0.265,0.242,0.575,0.537,33,68,0.485,7,16,0.438,15,18,0.833,14,26,0.538,12,26,0.462
DAWSON.GARCIA_Marquette,Marquette,5,5,152.384,292,74,8,29,4,0,1,9,14,0.216,0.5,0.602,0.549,26,51,0.51,4,15,0.267,18,22,0.818,12,21,0.571,10,15,0.667
DAXTON.CARR_Idaho St.,Idaho St.,6,5,137.268,247,38,9,8,1,2,4,6,16,0.227,0.833,0.401,0.364,12,44,0.273,8,33,0.242,6,7,0.857,4,11,0.364,0,0,0
DAYLAN.HAMILTON_Western Mich.,Western Mich.,3,0,26.117,50,8,2,3,0,0,1,5,7,0.286,0.667,0.535,0.571,3,7,0.429,2,5,0.4,0,1,0,1,2,0.5,0,0,0
DAYLEN.KOUNTZ_Northern Colo.,Northern Colo.,5,5,184.117,353,92,3,16,11,3,1,13,14,0.29,0.258,0.565,0.529,31,69,0.449,11,26,0.423,19,26,0.731,14,27,0.519,6,16,0.375
DAYRON.SHARPE_North Carolina,North Carolina,7,1,124.768,254,54,24,26,11,3,8,16,17,0.159,0.5,0.471,0.455,20,44,0.455,0,0,0,14,28,0.5,17,36,0.472,3,8,0.375
DAYVION.MCKNIGHT_Western Ky.,Western Ky.,8,7,220.699,395,53,4,23,34,7,4,23,19,0.13,0.235,0.469,0.38,17,46,0.37,1,7,0.143,18,22,0.818,11,23,0.478,5,16,0.312
DEAN.KEELER_UC Irvine,UC Irvine,3,0,12.834,25,2,2,2,0,1,1,0,2,0,1,0.333,0.333,1,3,0.333,0,0,0,0,0,0,1,2,0.5,0,1,0
DEANDRE.DISHMAN_Middle Tenn.,Middle Tenn.,5,5,100.366,183,34,6,12,5,10,0,4,7,0,0.333,0.471,0.414,12,29,0.414,0,0,0,10,15,0.667,8,16,0.5,4,13,0.308
DEANDRE.GHOLSTON_Milwaukee,Milwaukee,3,3,114.235,218,61,1,13,3,7,0,7,5,0.286,0.421,0.539,0.469,19,49,0.388,8,22,0.364,15,16,0.938,7,8,0.875,4,19,0.211
DEANDRE.HECKARD_SFA,SFA,1,0,7.583,17,0,0,0,2,2,0,1,0,0.5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
DEANDRE.HENRY_Nevada,Nevada,4,0,6.783,17,0,1,1,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
DEANDRE.PINCKNEY_Southern Miss.,Southern Miss.,3,3,74.316,144,33,7,6,4,3,3,5,6,0.217,0.615,0.595,0.587,13,23,0.565,1,5,0.2,6,10,0.6,8,10,0.8,4,8,0.5
DEANDRE.ROBINSON_Idaho,Idaho,3,2,78.017,134,28,3,10,5,0,1,1,4,0.043,0.333,0.573,0.565,12,23,0.522,2,7,0.286,2,3,0.667,4,4,1,6,12,0.5
DEANDRE.THOMAS_Mt. St. Mary's,Mt. St. Mary's,3,0,90.483,164,25,1,10,7,1,0,4,7,0,0.714,0.573,0.556,7,18,0.389,6,14,0.429,5,8,0.625,1,3,0.333,0,1,0
DEANDRE.WILLIAMS_Memphis,Memphis,6,6,153.433,303,72,15,19,30,14,1,21,18,0.278,0.522,0.535,0.463,23,54,0.426,4,11,0.364,22,28,0.786,13,32,0.406,6,11,0.545
DEANG.DEANG_Eastern Ill.,Eastern Ill.,2,0,23.833,57,2,4,4,4,2,0,2,3,0,0,0.25,0.25,1,4,0.25,0,1,0,0,0,0,1,1,1,0,2,0
DEANGELO.EPPS_Col. of Charleston,Col. of Charleston,1,0,26.934,41,2,0,4,0,1,1,0,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
DEANTE.JOHNSON_Cleveland St.,Cleveland St.,3,3,59.767,108,7,3,8,2,0,3,3,3,0.4,0.5,0.507,0.4,2,5,0.4,0,0,0,3,4,0.75,2,3,0.667,0,2,0
DEANTHONY.TIPLER_Coastal Carolina,Coastal Carolina,5,0,126.283,248,54,2,8,4,8,0,11,9,0.51,0.562,0.489,0.439,16,49,0.327,11,31,0.355,11,13,0.846,3,4,0.75,2,14,0.143
DEARON.TUCKER_Oregon St.,Oregon St.,5,0,22.667,36,6,1,2,1,0,0,2,6,0,0.5,0.606,0.5,2,4,0.5,0,0,0,2,2,1,2,4,0.5,0,0,0
DEDRIC.BOYD_Illinois St.,Illinois St.,3,0,30.85,62,10,0,2,2,1,0,1,1,0.636,0.333,0.388,0.364,3,11,0.273,2,8,0.25,2,4,0.5,0,2,0,1,1,1
DEE.BARNES_Southern Utah,Southern Utah,3,0,16.817,36,0,0,0,0,0,0,0,1,0.25,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0
DEE.MITCHELL_Oklahoma St.,Oklahoma St.,1,0,0.017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEION.HAMMOND_Monmouth,Monmouth,3,3,99.068,185,40,4,9,4,0,0,7,6,0.227,0.333,0.414,0.386,15,44,0.341,4,13,0.308,6,9,0.667,5,12,0.417,6,19,0.316
DEIVON.SMITH_Mississippi St.,Mississippi St.,6,2,142.282,257,24,3,23,19,6,1,9,10,0.273,0.556,0.344,0.333,9,33,0.273,4,16,0.25,2,4,0.5,2,4,0.5,3,13,0.231
DEJON.JARREAU_Houston,Houston,7,7,211.035,361,91,12,33,34,12,6,20,11,0.224,0.419,0.66,0.612,31,58,0.534,9,22,0.409,20,23,0.87,10,18,0.556,12,18,0.667
DEJUAN.CLAYTON_Coppin St.,Coppin St.,4,4,139.6,290,60,1,15,18,4,0,12,10,0.304,0.154,0.472,0.326,13,46,0.283,4,20,0.2,30,37,0.811,6,17,0.353,3,9,0.333
DEKEDRAN.THORN_Alcorn,Alcorn,3,1,36.799,75,5,3,6,4,1,0,0,3,0,0,0.179,0.179,2,14,0.143,1,7,0.143,0,0,0,1,5,0.2,0,2,0
DELAZARUS.KEYS_A&M-Corpus Christi,A&M-Corpus Christi,4,4,124.333,246,41,12,26,6,7,1,6,7,0.231,0.684,0.49,0.487,19,39,0.487,0,1,0,3,6,0.5,10,14,0.714,9,24,0.375
DELONNIE.HUNT_Wagner,Wagner,5,5,179.701,317,52,4,11,15,5,0,4,9,0.356,0.35,0.513,0.467,20,45,0.444,2,17,0.118,10,12,0.833,15,22,0.682,3,6,0.5
DELOR.JOHNSON_Southern U.,Southern U.,6,6,132.65,271,33,7,10,5,8,3,8,20,0.314,0.538,0.401,0.371,13,35,0.371,0,0,0,7,13,0.538,7,11,0.636,6,24,0.25
DEMARCUS.SHARP_Missouri St.,Missouri St.,4,4,152.55,265,39,3,21,22,3,4,7,11,0.222,0,0.496,0.472,17,36,0.472,0,4,0,5,7,0.714,8,14,0.571,9,18,0.5
DEMAREE.KING_Jacksonville St.,Jacksonville St.,4,0,96.433,171,35,2,5,6,0,0,3,4,0.238,0.917,0.78,0.786,12,21,0.571,9,17,0.529,2,3,0.667,0,0,0,3,4,0.75
DEMARION.BARIFFESMITH_Jackson St.,Jackson St.,6,0,26.165,56,8,3,5,1,0,0,1,3,0.286,0.5,0.535,0.571,4,7,0.571,0,1,0,0,1,0,4,4,1,0,2,0
DEMARIUS.JACOBS_Saint Louis,Saint Louis,4,0,27.183,50,4,2,1,2,1,1,0,3,0,1,0.506,0.333,1,3,0.333,0,2,0,2,2,1,1,1,1,0,0,0
DEMARIUS.PITTS_Kansas City,Kansas City,2,1,58.833,100,14,2,3,5,3,0,1,6,0.067,0.333,0.439,0.433,6,15,0.4,1,4,0.25,1,2,0.5,4,8,0.5,1,3,0.333
DEMARR.LANGFORD_Boston College,Boston College,5,4,144.85,279,40,8,13,7,3,2,12,5,0.267,0.385,0.512,0.433,13,30,0.433,0,2,0,14,19,0.737,12,21,0.571,1,7,0.143
DEMETRIC.HORTON_Purdue Fort Wayne,Purdue Fort Wayne,2,0,63.834,113,28,1,6,3,4,1,4,6,0.474,0.273,0.702,0.711,11,19,0.579,5,9,0.556,1,2,0.5,5,7,0.714,1,3,0.333
DEMETRIUS.MIMS_Towson,Towson,2,1,32.551,54,3,0,2,4,0,1,1,1,0,0,0.385,0,0,2,0,0,0,0,3,4,0.75,0,0,0,0,2,0
DEMIERE.BROWN_SFA,SFA,1,0,0.65,3,2,0,0,0,0,0,0,0,0,0,0.513,0,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0
DEMONTE.BUCKINGHAM_CSU Bakersfield,CSU Bakersfield,3,0,50.267,93,24,4,8,7,0,0,2,6,0.235,0.7,0.706,0.706,10,17,0.588,4,8,0.5,0,0,0,5,7,0.714,1,2,0.5
DENG.GAK_Miami (FL),Miami (FL),7,1,83.401,156,11,6,20,0,1,2,3,5,0,1,0.41,0.417,5,12,0.417,0,1,0,1,3,0.333,5,10,0.5,0,1,0
DENIJAY.HARRIS_Southern Miss.,Southern Miss.,1,0,10.4,21,4,1,2,1,0,0,0,2,0.25,0.5,0.5,0.5,2,4,0.5,0,0,0,0,0,0,2,2,1,0,2,0
DENNY.SLAY_High Point,High Point,3,0,48.234,91,11,0,1,3,2,0,2,1,0.25,0.6,0.344,0.344,5,16,0.312,1,5,0.2,0,0,0,2,4,0.5,2,7,0.286
DENZEL.MAHONEY_Creighton,Creighton,7,7,197.384,357,55,2,20,11,9,1,7,16,0.366,0.812,0.359,0.317,16,71,0.225,13,44,0.295,10,12,0.833,0,8,0,3,19,0.158
DENZEL.TCHOUGANG_Siena,Siena,2,0,5.451,14,4,0,1,0,0,0,0,2,1,1,0.825,1,1,1,1,0,0,0,2,3,0.667,1,1,1,0,0,0
DEON.EJIM_UIC,UIC,1,1,15.316,27,4,3,1,0,0,0,0,2,0,0.5,0.678,1,2,2,1,0,0,0,0,2,0,2,2,1,0,0,0
DEON.STROUD_Fresno St.,Fresno St.,6,6,158.033,288,80,6,16,3,4,3,9,19,0.308,0.455,0.57,0.554,33,65,0.508,6,13,0.462,8,11,0.727,16,26,0.615,11,26,0.423
DEONTE.BILLUPS_Purdue Fort Wayne,Purdue Fort Wayne,2,2,72.717,120,23,0,7,5,2,2,2,8,0.133,0.75,0.767,0.767,8,15,0.533,7,12,0.583,0,0,0,1,2,0.5,0,1,0
DEQUAN.MORRIS_Ark.-Pine Bluff,Ark.-Pine Bluff,5,0,118.883,216,68,4,13,2,6,1,5,11,0.239,0.323,0.689,0.696,31,46,0.674,2,2,1,4,7,0.571,17,24,0.708,12,20,0.6
DEREK.BALLARD_Eastern Mich.,Eastern Mich.,4,0,44.617,90,12,4,7,1,0,0,1,2,0.25,0.75,0.463,0.417,4,12,0.333,2,6,0.333,2,2,1,2,5,0.4,0,1,0
DEREK.CULVER_West Virginia,West Virginia,6,5,148.368,291,80,16,35,7,5,2,16,15,0.24,0.609,0.535,0.46,23,50,0.46,0,0,0,34,52,0.654,21,38,0.553,2,12,0.167
DEREK.FOUNTAIN_Mississippi St.,Mississippi St.,6,4,113.686,210,19,3,11,6,1,3,6,9,0.217,0.5,0.397,0.391,8,23,0.348,2,10,0.2,1,2,0.5,5,7,0.714,1,6,0.167
DEREK.SABIN_Belmont,Belmont,5,2,33.333,66,10,5,3,1,0,1,1,7,0.222,0.5,0.459,0.444,4,9,0.444,0,0,0,2,4,0.5,2,5,0.4,2,4,0.5
DEREK.ST.HILAIRE_New Orleans,New Orleans,7,6,220.766,445,121,4,19,25,9,0,25,18,0.25,0.452,0.593,0.565,42,92,0.457,20,50,0.4,17,21,0.81,15,24,0.625,7,18,0.389
DEREK.WEBSTER_The Citadel,The Citadel,4,0,72.984,150,15,7,16,6,1,0,3,6,0.111,0.4,0.586,0.556,5,9,0.556,0,0,0,5,8,0.625,2,4,0.5,3,5,0.6
DEREON.SEABRON_NC State,NC State,4,4,115.016,200,36,10,15,7,3,4,9,5,0.345,0.467,0.533,0.534,15,29,0.517,1,5,0.2,5,10,0.5,14,21,0.667,0,3,0
DERICKO.WILLIAMS_UNC Greensboro,UNC Greensboro,2,0,6.883,14,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DERRICK.ALSTON_Boise St.,Boise St.,4,4,140.469,264,64,4,15,9,1,0,12,7,0.371,0.5,0.479,0.435,22,62,0.355,10,37,0.27,10,10,1,8,13,0.615,4,12,0.333
DERRICK.CARTERHOLLINGER_Montana,Montana,4,1,30.684,63,12,0,1,0,0,0,2,6,0,0.5,0.55,0.5,4,9,0.444,1,2,0.5,3,4,0.75,1,1,1,2,6,0.333
DERRICK.JONES_Towson,Towson,1,0,4.4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DERRICK.WALKER_Nebraska,Nebraska,7,7,164.949,311,58,13,28,13,3,6,11,19,0.19,0.778,0.627,0.643,27,42,0.643,0,0,0,4,9,0.444,25,36,0.694,2,6,0.333
DESEAN.ALLENEIKENS_North Dakota,North Dakota,1,1,31.733,60,9,1,1,1,0,0,3,1,0.333,0,0.432,0.333,3,9,0.333,0,4,0,3,3,1,3,3,1,0,2,0
DESHANG.WEAVER_Oral Roberts,Oral Roberts,5,0,103.184,202,41,0,13,1,1,5,2,9,0.208,0.467,0.792,0.771,15,24,0.625,7,12,0.583,4,4,1,3,3,1,5,9,0.556
DESHAUN.WADE_Longwood,Longwood,3,3,77.383,135,37,1,6,3,0,0,2,1,0.222,0.385,0.62,0.593,13,27,0.481,6,16,0.375,5,6,0.833,1,3,0.333,6,8,0.75
DESHAWN.THOMAS_Coastal Carolina,Coastal Carolina,3,0,26.884,60,6,4,2,0,0,3,0,4,0.4,0.5,0.467,0.4,2,5,0.4,0,0,0,2,3,0.667,2,4,0.5,0,1,0
